No,Traffik,Throughput,Bandwidth,Link Utilization,Delay,Jitter,Packet Loss,Kongesti Label
94,1600,972,1000,0.972,12.113218,3.385,27,Kongesti Berat
95,1600,972,1000,0.972,12.096468,3.428,27,Kongesti Berat
96,1600,972,1000,0.972,12.113285,3.156,27,Kongesti Berat
97,1600,972,1000,0.972,12.096861,4.746,28,Kongesti Berat
98,1600,972,1000,0.972,12.096446,4.745,29,Kongesti Berat
99,1600,971,1000,0.971,12.110807,4.756,33,Kongesti Berat
100,1600,972,1000,0.972,12.09647,3.307,27,Kongesti Berat
101,1600,972,1000,0.972,12.096615,3.314,27,Kongesti Berat
102,1600,972,1000,0.972,12.097646,3.292,27,Kongesti Berat
103,1600,972,1000,0.972,12.095733,4.757,34,Kongesti Berat
104,1600,970,1000,0.97,12.113319,4.803,36,Kongesti Berat
105,1600,972,1000,0.972,12.096473,4.784,32,Kongesti Berat
106,1600,971,1000,0.971,12.108291,4.756,31,Kongesti Berat
107,1600,972,1000,0.972,12.096881,3.367,27,Kongesti Berat
108,1600,972,1000,0.972,12.096606,4.739,30,Kongesti Berat
109,1600,972,1000,0.972,12.096839,4.743,28,Kongesti Berat
110,1600,972,1000,0.972,12.096997,4.748,30,Kongesti Berat
111,1600,972,1000,0.972,12.096826,4.723,28,Kongesti Berat
112,1600,972,1000,0.972,12.109721,4.626,34,Kongesti Berat
113,1600,972,1000,0.972,12.096532,4.736,29,Kongesti Berat
114,1600,971,1000,0.971,12.101777,4.756,34,Kongesti Berat
115,1600,971,1000,0.971,12.096199,4.759,33,Kongesti Berat
116,1600,971,1000,0.971,12.100602,4.748,30,Kongesti Berat
117,1600,972,1000,0.972,12.096196,4.736,33,Kongesti Berat
118,1600,972,1000,0.972,12.096481,4.749,31,Kongesti Berat
119,1600,971,1000,0.971,12.100018,4.752,34,Kongesti Berat
120,1600,972,1000,0.972,12.096465,4.752,29,Kongesti Berat
121,2000,972,1000,0.972,12.096847,6.222,42,Kongesti Berat
122,2000,972,1000,0.972,12.104346,1.215,48,Kongesti Berat
123,2000,972,1000,0.972,12.096827,1.169,42,Kongesti Berat
124,2000,972,1000,0.972,12.096173,1.554,46,Kongesti Berat
125,2000,972,1000,0.972,12.105626,0.593,42,Kongesti Berat
126,2000,972,1000,0.972,12.09943,0.529,42,Kongesti Berat
127,2000,972,1000,0.972,12.096513,1.104,42,Kongesti Berat
128,2000,972,1000,0.972,12.096526,0.55,42,Kongesti Berat
129,2000,972,1000,0.972,12.096614,1.162,42,Kongesti Berat
130,2000,972,1000,0.972,12.096589,1.463,42,Kongesti Berat
131,2000,972,1000,0.972,12.098583,0.82,42,Kongesti Berat
132,2000,970,1000,0.97,12.113913,1.166,42,Kongesti Berat
133,2000,972,1000,0.972,12.096585,0.509,42,Kongesti Berat
134,2000,971,1000,0.971,12.114055,1.439,42,Kongesti Berat
135,2000,972,1000,0.972,12.096185,6.225,47,Kongesti Berat
136,2000,972,1000,0.972,12.096241,6.211,47,Kongesti Berat
137,2000,972,1000,0.972,12.096999,1.272,42,Kongesti Berat
138,2000,972,1000,0.972,12.096903,1.06,42,Kongesti Berat
139,2000,971,1000,0.971,12.099381,6.221,46,Kongesti Berat
140,2000,972,1000,0.972,12.096115,7.86,47,Kongesti Berat
141,2000,971,1000,0.971,12.105454,0.659,42,Kongesti Berat
142,2000,970,1000,0.97,12.119909,0.743,42,Kongesti Berat
143,2000,972,1000,0.972,12.096386,6.216,42,Kongesti Berat
144,2000,972,1000,0.972,12.096696,4.051,42,Kongesti Berat
145,2000,972,1000,0.972,12.096472,0.69,42,Kongesti Berat
146,2000,972,1000,0.972,12.1009,0.745,42,Kongesti Berat
147,2000,972,1000,0.972,12.096529,0.561,42,Kongesti Berat
148,2000,970,1000,0.97,12.115987,0.76,42,Kongesti Berat
149,2000,970,1000,0.97,12.11011,6.692,50,Kongesti Berat
150,2000,972,1000,0.972,12.095243,7.691,48,Kongesti Berat
151,,,,,,,,
152,,,,,,,,
153,,,,,,,,
154,,,,,,,,
155,,,,,,,,
156,,,,,,,,
157,,,,,,,,
158,,,,,,,,
159,,,,,,,,
160,,,,,,,,
161,,,,,,,,
162,,,,,,,,
163,,,,,,,,
